name,self_cpu_time_ms,cpu_time_ms,self_cuda_time_ms,cuda_time_ms,self_cpu_memory_bytes,self_cuda_memory_bytes,cpu_memory_bytes,cuda_memory_bytes,count,flops,device_type
PowBackward0,5.642890000010841,37.39679999999632,0.0,3.622822000014712,0,-402653184,0,201326592,512,0,DeviceType.CPU
SubBackward0,1.5833400000185938,10.990830000017304,0.0,1.1789370000050403,0,0,0,201326592,1280,0,DeviceType.CPU
SumBackward1,0.9439110000018264,3.138670999996597,0.0,0.0,0,0,0,0,256,0,DeviceType.CPU
TBackward0,3.0862970000263306,14.546767000010353,0.0,0.0,0,0,0,0,2048,0,DeviceType.CPU
UnsqueezeBackward0,0.5708810000093654,2.054381000005524,0.0,0.0,0,0,0,0,256,0,DeviceType.CPU
ZeroBodiesTGS,0.0,0.0,0.717117999990849,0.717117999990849,0,0,0,0,512,0,DeviceType.CUDA
[memory],0.0,0.0,0.0,0.0,3072,-6795197440,3072,-6795197440,45455,0,DeviceType.CPU
accumulateReportsStage_1,0.0,0.0,1.0474559999934863,1.0474559999934863,0,0,0,0,512,0,DeviceType.CUDA
accumulateReportsStage_2,0.0,0.0,1.425019000003318,1.425019000003318,0,0,0,0,512,0,DeviceType.CUDA
addAggPairsStage1,0.0,0.0,1.1458870000083117,1.1458870000083117,0,0,0,0,512,0,DeviceType.CUDA
addAggPairsStage2,0.0,0.0,0.8677139999978827,0.8677139999978827,0,0,0,0,512,0,DeviceType.CUDA
aggCopyReports,0.0,0.0,0.721368999995495,0.721368999995495,0,0,0,0,512,0,DeviceType.CUDA
artiSolveInternalConstraintsTGS1T,0.0,0.0,78.2379010000049,78.2379010000049,0,0,0,0,2560,0,DeviceType.CUDA
artiSolveInternalTendonConstraints1T,0.0,0.0,6.0615549999850336,6.0615549999850336,0,0,0,0,2560,0,DeviceType.CUDA
artiSolveSelfConstraintsTGS1T,0.0,0.0,6.437154000003182,6.437154000003182,0,0,0,0,2560,0,DeviceType.CUDA
artiSumInternalContactAndJointBatches1Launch,0.0,0.0,3.6081390000008686,3.6081390000008686,0,0,0,0,512,0,DeviceType.CUDA
artiSumInternalContactAndJointBatches2Launch,0.0,0.0,4.774921000003378,4.774921000003378,0,0,0,0,512,0,DeviceType.CUDA
artiSumSelfContactAndJointBatches,0.0,0.0,4.6868109999920415,4.6868109999920415,0,0,0,0,512,0,DeviceType.CUDA
artiUpdateJointAndRootDataLaunch,0.0,0.0,0.015584000000002561,0.015584000000002561,0,0,0,0,1,0,DeviceType.CUDA
artiUpdateKinematic,0.0,0.0,0.1097280000000028,0.1097280000000028,0,0,0,0,1,0,DeviceType.CUDA
artiUpdateLinkDataLaunch,0.0,0.0,5.292709999996092,5.292709999996092,0,0,0,0,256,0,DeviceType.CUDA
aten::__or__,0.05894199999875855,7.4111159999983505,0.0,0.028894999999844004,0,0,0,1048576,16,0,DeviceType.CPU
aten::_foreach_add_,10.972913999998942,16.61151399999007,0.5584940000012284,0.5584940000012284,0,0,0,0,512,0,DeviceType.CPU
aten::_foreach_addcdiv_,6.238537999983412,8.017975000002306,0.9076169999974081,0.9076169999974081,0,0,0,0,256,0,DeviceType.CPU
aten::_foreach_addcmul_,6.128555000004824,9.911678999994184,0.7570499999996974,0.7570499999996974,0,0,0,0,256,0,DeviceType.CPU
aten::_foreach_div_,5.755125999999699,12.193265000005368,0.6622390000036685,0.6622390000036685,0,0,0,0,256,0,DeviceType.CPU
aten::_foreach_lerp_,3.101004999998375,5.903677000000608,0.7655310000012396,0.7655310000012396,0,0,0,0,256,0,DeviceType.CPU
aten::_foreach_mul_,8.169295999985653,18.29716799999925,1.1963230000103358,1.1963230000103358,0,0,0,0,512,0,DeviceType.CPU
aten::_foreach_norm,12.86205299997714,43.875541000000084,1.2482590000032214,1.5774770000030984,0,-131072,0,2228224,256,0,DeviceType.CPU
aten::_foreach_sqrt,10.893724999999046,52.0868210000007,0.6972520000033546,0.6972520000033546,0,0,0,16121856,256,0,DeviceType.CPU
aten::_index_put_impl_,5.0220230000107735,16.02004400000438,1.4113200000032302,2.30173800000791,0,-8390656,0,0,264,0,DeviceType.CPU
aten::_local_scalar_dense,23.360105000011185,68.30166899998387,5.902844000005629,5.902844000005629,0,0,0,0,12432,0,DeviceType.CPU
aten::_reshape_alias,1.7649409999952477,1.7649409999952477,0.0,0.0,0,0,0,0,768,0,DeviceType.CPU
aten::_to_copy,15.639483000033698,70.73813600001138,0.0,4.573204999995905,0,0,0,9586688,2565,0,DeviceType.CPU
aten::abs,14.055627000000822,53.22781500001316,1.2050590000030643,2.4101180000061286,0,0,0,33554432,2048,0,DeviceType.CPU
aten::add,169.4393669999612,255.29913899995873,24.45326999998557,24.45326999998557,0,383942656,0,383942656,16736,95501888,DeviceType.CPU
aten::add_,11.938611000010889,17.34856500000201,1.6034520000006887,1.6034520000006887,0,0,0,0,5376,0,DeviceType.CPU
aten::addmm,106.79465999998979,167.0921949999984,304.8990649999621,304.8990649999621,0,12281315328,0,12281315328,4160,272743006208,DeviceType.CPU
aten::any,31.374043000015313,49.65157300000565,6.436434000000329,6.436434000000329,0,1048576,0,1048576,2048,0,DeviceType.CPU
aten::arange,0.03544600000000014,1.1004140000000002,0.0016639999999999873,0.0033279999999999746,0,0,0,65536,2,0,DeviceType.CPU
aten::as_strided,37.47169500001888,37.47169500001888,0.0,0.0,0,0,0,0,49993,0,DeviceType.CPU
aten::asin,5.387730000007053,10.897984000008552,0.6634599999979837,0.6634599999979837,0,8388608,0,8388608,512,0,DeviceType.CPU
aten::bitwise_or,0.28015999999950875,7.352173999999591,0.028894999999844004,0.028894999999844004,0,1048576,0,1048576,16,0,DeviceType.CPU
aten::broadcast_tensors,2.014842999977642,5.338382999982415,0.0,0.0,0,0,0,0,768,0,DeviceType.CPU
aten::cat,33.66806100001972,52.35311699999229,6.79134800000547,6.79134800000547,0,230817792,0,230817792,2304,0,DeviceType.CPU
aten::clamp,50.04112000002137,83.65768100000456,7.571998000011241,7.571998000011241,0,948830208,0,948830208,3648,0,DeviceType.CPU
aten::clip,0.9559989999994868,11.212030999998854,0.0,0.7352959999986924,0,0,0,67108864,512,0,DeviceType.CPU
aten::clone,1.5099509999923502,10.983322999992,0.0,0.5109120000026324,0,0,0,12632064,257,0,DeviceType.CPU
aten::copy_,37.382946999976554,80.80879199999065,10.166657000001514,10.166657000001514,0,0,0,0,5544,0,DeviceType.CPU
aten::detach,6.286974000004179,13.793493999979459,0.0,0.0,0,0,0,0,4398,0,DeviceType.CPU
aten::detach_,0.6713399999924005,0.9251109999950277,0.0,0.0,0,0,0,0,401,0,DeviceType.CPU
aten::div,51.1830820000205,73.74181800001489,13.709354999989793,13.709354999989793,32,1371963392,32,1371963392,4353,0,DeviceType.CPU
aten::elu,39.781446999987864,60.85622599997218,83.48970700000643,83.48970700000643,0,12121538560,0,12121538560,3120,0,DeviceType.CPU
aten::elu_backward,18.146705000012123,28.79489199999941,103.64095999998658,103.64095999998658,0,10737418240,0,10737418240,1536,0,DeviceType.CPU
aten::empty,56.312415000003625,56.312415000003625,0.0,0.0,2116,184057856,2116,184057856,12249,0,DeviceType.CPU
aten::empty_like,7.760021999978387,24.214085999988928,0.0,0.0,0,0,0,75836416,2357,0,DeviceType.CPU
aten::empty_strided,49.358560000002875,49.358560000002875,0.0,0.0,0,67990528,0,67990528,9018,0,DeviceType.CPU
aten::eq,18.246050000004384,25.43243199999654,2.175841999992554,2.175841999992554,0,20971520,0,20971520,1536,0,DeviceType.CPU
aten::exp,12.232505000016282,17.97775400000957,1.4981730000007956,1.4981730000007956,0,67371008,0,67371008,1024,0,DeviceType.CPU
aten::expand,5.666760999992279,7.202305999999655,0.0,0.0,0,0,0,0,1552,0,DeviceType.CPU
aten::fill_,22.49607299999822,45.90773099998219,4.1770510000030665,4.1770510000030665,0,0,0,0,4150,0,DeviceType.CPU
aten::flatten,0.6690289999979432,1.3786369999954187,0.0,0.0,0,0,0,0,256,0,DeviceType.CPU
aten::ge,19.010928999987314,25.870200999985972,1.8818589999992401,1.8818589999992401,0,19005440,0,19005440,1280,0,DeviceType.CPU
aten::gt,2.2384950000043027,3.328193000004045,0.3814029999972554,0.3814029999972554,0,8388608,0,8388608,256,0,DeviceType.CPU
aten::index,0.06888600000000224,9.141597,0.006304000000000087,0.006304000000000087,0,212992,0,212992,1,0,DeviceType.CPU
aten::index_put_,1.2160869999921269,17.236130999996504,0.0,2.30173800000791,0,0,0,0,264,0,DeviceType.CPU
aten::is_nonzero,2.706520999989036,42.73464300000947,0.0,3.195829000008234,0,0,0,0,2048,0,DeviceType.CPU
aten::isinf,5.421011999992363,55.53038699999286,0.0,2.4268190000066823,0,-16433152,0,4538368,1024,0,DeviceType.CPU
aten::isnan,2.4760129999706115,28.23477999998236,0.0,1.2362869999944814,0,0,0,4194304,1024,0,DeviceType.CPU
aten::item,14.135535000052739,82.43720400003662,0.0,5.902844000005629,0,0,0,0,12432,0,DeviceType.CPU
aten::le,9.23630499999848,12.5994500000127,0.9960590000003576,0.9960590000003576,0,16908288,0,16908288,768,0,DeviceType.CPU
aten::lift_fresh,0.08614799999219394,0.08614799999219394,0.0,0.0,0,0,0,0,405,0,DeviceType.CPU
aten::linalg_vector_norm,34.23674100001082,49.05792600000519,6.016035999995726,6.016035999995726,0,25313280,0,25313280,1793,0,DeviceType.CPU
aten::linear,24.007187999996255,221.23053199999464,0.0,304.8990649999621,0,0,0,12281315328,4160,0,DeviceType.CPU
