-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::mean         0.17%       1.390ms         0.78%       6.231ms      79.880us     590.655us         0.10%     590.655us       7.573us           0 b           0 b      31.00 Kb      31.00 Kb            78            --  
                                           aten::linear         0.17%       1.379ms         3.39%      27.145ms     104.405us       0.000us         0.00%      23.057ms      88.679us           0 b           0 b     739.64 Mb           0 b           260            --  
                                              aten::pow         0.17%       1.355ms         3.17%      25.392ms     253.924us     146.365us         0.03%     268.538us       2.685us           0 b           0 b      25.50 Mb      25.50 Mb           100            --  
                              aten::_local_scalar_dense         0.17%       1.341ms         0.51%       4.090ms       5.264us     391.932us         0.07%     391.932us       0.504us           0 b           0 b           0 b           0 b           777            --  
                                             cudaMalloc         0.16%       1.253ms         0.16%       1.253ms      83.527us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            15            --  
autograd::engine::evaluate_function: torch::autograd...         0.14%       1.135ms         0.31%       2.496ms       9.175us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           272            --  
               $SatelliteVec__compute_observations__sim         0.13%       1.047ms         0.25%       1.999ms     124.913us       0.000us         0.00%     119.104us       7.444us           0 b           0 b      48.00 Kb      -1.45 Mb            16            --  
                             $SatelliteVec__termination         0.13%       1.036ms         2.75%      21.975ms       1.373ms       0.000us         0.00%     161.086us      10.068us           0 b           0 b           0 b     -64.00 Kb            16            --  
                                               aten::ge         0.13%       1.035ms         0.18%       1.431ms      17.886us     140.064us         0.02%     140.064us       1.751us           0 b           0 b       1.13 Mb       1.13 Mb            80            --  
                                               aten::eq         0.13%       1.032ms         0.18%       1.460ms      15.210us     160.890us         0.03%     160.890us       1.676us           0 b           0 b       1.25 Mb       1.25 Mb            96            --  
                                          aten::nonzero         0.13%       1.030ms         0.51%       4.103ms     128.206us     265.792us         0.05%     265.792us       8.306us           0 b           0 b           0 b           0 b            32            --  
                                     aten::elu_backward         0.12%     995.787us         0.20%       1.614ms      16.808us       6.450ms         1.12%       6.450ms      67.190us           0 b           0 b     640.00 Mb     640.00 Mb            96            --  
           $SatelliteVec__apply_torque__noise_and_clamp         0.11%     917.285us         0.20%       1.624ms     101.497us       0.000us         0.00%      48.704us       3.044us           0 b           0 b      48.00 Kb      -1.45 Mb            16            --  
                                         aten::_to_copy         0.11%     879.439us         0.53%       4.275ms      25.908us       0.000us         0.00%     344.320us       2.087us           0 b           0 b     602.00 Kb           0 b           165            --  
                     Optimizer.zero_grad#Adam.zero_grad         0.10%     789.465us         0.10%     789.465us      49.342us       0.000us         0.00%       0.000us       0.000us           0 b           0 b    -922.50 Kb    -922.50 Kb            16            --  
                                          aten::resize_         0.10%     779.657us         0.10%     779.657us       2.794us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       9.42 Mb       9.42 Mb           279            --  
                                              aten::abs         0.10%     774.468us         0.66%       5.311ms      41.488us      91.008us         0.02%     182.016us       1.422us           0 b           0 b       2.00 Mb           0 b           128            --  
                                        aten::unsqueeze         0.10%     771.278us         0.12%     994.310us       1.942us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           512            --  
                                             aten::view         0.10%     767.199us         0.10%     767.199us       1.805us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           425            --  
                                             aten::item         0.09%     755.931us         0.61%       4.846ms       6.237us       0.000us         0.00%     391.932us       0.504us           0 b           0 b           0 b           0 b           777            --  
$SatelliteVec__compute_observations__noise_and_clamp...         0.09%     707.106us         0.16%       1.287ms      80.438us       0.000us         0.00%      64.126us       4.008us           0 b           0 b           0 b      -7.75 Mb            16            --  
                                              aten::exp         0.09%     701.320us         0.13%       1.042ms      16.286us     112.320us         0.02%     112.320us       1.755us           0 b           0 b       4.02 Mb       4.02 Mb            64            --  
                                             aten::add_         0.09%     694.714us         0.13%       1.016ms       3.024us     120.419us         0.02%     120.419us       0.358us           0 b           0 b           0 b           0 b           336            --  
                                    aten::_foreach_norm         0.08%     679.429us         0.57%       4.578ms     286.098us      92.320us         0.02%     116.385us       7.274us           0 b           0 b     136.00 Kb      -8.00 Kb            16            --  
                                             aten::sqrt         0.08%     668.875us         2.25%      18.009ms     264.833us     113.053us         0.02%     113.053us       1.663us           0 b           0 b      34.00 Kb      34.00 Kb            68            --  
      autograd::engine::evaluate_function: EluBackward0         0.08%     667.129us         0.31%       2.505ms      26.094us       0.000us         0.00%       6.450ms      67.190us           0 b           0 b    -640.00 Mb      -1.25 Gb            96            --  
                                    aten::_foreach_sqrt         0.08%     638.960us         2.71%      21.700ms       1.356ms      52.641us         0.01%      52.641us       3.290us           0 b           0 b     984.00 Kb           0 b            16            --  
                                            aten::stack         0.08%     620.901us         0.33%       2.625ms      41.015us       0.000us         0.00%     211.261us       3.301us           0 b           0 b       3.01 Mb           0 b            64            --  
                                         ClampBackward1         0.07%     599.973us         0.59%       4.695ms      97.822us       0.000us         0.00%     421.179us       8.775us           0 b           0 b       4.01 Mb      -2.04 Mb            48            --  
                                    aten::_foreach_add_         0.07%     597.295us         0.12%     952.167us      29.755us      42.080us         0.01%      42.080us       1.315us           0 b           0 b           0 b           0 b            32            --  
                                               aten::ne         0.07%     592.442us         1.47%      11.739ms     183.415us      93.344us         0.02%      93.344us       1.458us           0 b           0 b     256.00 Kb     256.00 Kb            64            --  
        autograd::engine::evaluate_function: TBackward0         0.07%     574.286us         0.17%       1.368ms      10.689us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
                        torch::autograd::AccumulateGrad         0.07%     552.816us         0.17%       1.360ms       5.002us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           272            --  
                                               aten::lt         0.07%     548.656us         0.57%       4.555ms      94.888us      77.311us         0.01%      77.311us       1.611us           0 b           0 b     640.00 Kb     640.00 Kb            48            --  
                                      aten::logical_and         0.06%     486.248us         0.15%       1.203ms      15.039us      99.935us         0.02%     122.909us       1.536us           0 b           0 b     128.00 Kb           0 b            80            --  
                                               aten::le         0.06%     473.527us         0.08%     661.152us      13.774us      75.614us         0.01%      75.614us       1.575us           0 b           0 b       1.01 Mb       1.01 Mb            48            --  
                                    aten::_foreach_mul_         0.06%     468.179us         0.87%       6.929ms     216.535us      89.120us         0.02%      89.120us       2.785us           0 b           0 b           0 b           0 b            32            --  
                                       aten::empty_like         0.06%     462.338us         0.19%       1.524ms       8.373us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       4.71 Mb           0 b           182            --  
                                                 detach         0.06%     458.169us         0.06%     458.169us       1.684us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           272            --  
                                  cudaFuncGetAttributes         0.06%     452.578us         0.06%     452.578us     452.578us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
                                       aten::logical_or         0.05%     439.519us         4.52%      36.173ms     565.197us      48.384us         0.01%      96.768us       1.512us           0 b           0 b     256.00 Kb           0 b            64            --  
                                         aten::mse_loss         0.05%     437.638us         1.20%       9.622ms     601.404us      37.920us         0.01%     173.118us      10.820us           0 b           0 b       2.00 Mb           0 b            16            --  
      autograd::engine::evaluate_function: MulBackward0         0.05%     437.001us         0.24%       1.929ms      30.135us       0.000us         0.00%     146.307us       2.286us        -256 b        -256 b      -1.99 Mb     -12.00 Mb            64            --  
                                       MinimumBackward0         0.05%     432.742us        34.59%     276.769ms      17.298ms       0.000us         0.00%     296.799us      18.550us           0 b         -16 b       4.00 Mb      -6.00 Mb            16            --  
                                              aten::log         0.05%     428.310us         0.49%       3.920ms     122.506us      96.765us         0.02%      96.765us       3.024us           0 b           0 b       6.75 Mb       6.75 Mb            32            --  
                                    aten::scalar_tensor         0.05%     415.418us         0.25%       2.033ms      18.155us       0.000us         0.00%     131.005us       1.170us           0 b           0 b      56.00 Kb           0 b           112            --  
                                          aten::normal_         0.05%     414.343us         0.09%     703.776us      21.327us     119.549us         0.02%     119.549us       3.623us           0 b           0 b           0 b           0 b            33            --  
                                        cudaMemsetAsync         0.05%     413.358us         0.05%     413.358us       4.134us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           100            --  
                          $SatelliteVec__reset_idx__sim         0.05%     398.172us         1.41%      11.267ms      11.267ms       0.000us         0.00%      20.897us      20.897us           0 b           0 b      16.00 Kb    -256.00 Kb             1            --  
                                          aten::reshape         0.05%     397.485us         0.09%     689.201us       4.078us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           169            --  
                                 aten::_index_put_impl_         0.05%     393.909us         0.19%       1.506ms      62.751us     142.371us         0.02%     210.053us       8.752us           0 b           0 b           0 b    -514.00 Kb            24            --  
                                               aten::to         0.05%     373.574us         0.58%       4.648ms       5.704us       0.000us         0.00%     344.320us       0.422us           0 b           0 b     602.00 Kb           0 b           815            --  
      autograd::engine::evaluate_function: SubBackward0         0.05%     365.304us         0.23%       1.844ms      23.044us       0.000us         0.00%      89.791us       1.122us           0 b           0 b       6.00 Mb      -6.00 Mb            80            --  
                                           aten::detach         0.04%     349.437us         0.10%     807.606us       2.969us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           272            --  
                                           PowBackward0         0.04%     339.228us         0.27%       2.165ms      67.667us       0.000us         0.00%     273.853us       8.558us           0 b           0 b      12.00 Mb     -24.00 Mb            32            --  
                                aten::_foreach_addcdiv_         0.04%     336.756us         0.06%     472.066us      29.504us      68.512us         0.01%      68.512us       4.282us           0 b           0 b           0 b           0 b            16            --  
                                aten::_foreach_addcmul_         0.04%     334.353us         0.34%       2.692ms     168.243us      57.412us         0.01%      57.412us       3.588us           0 b           0 b           0 b           0 b            16            --  
    autograd::engine::evaluate_function: ClampBackward1         0.04%     323.381us         0.63%       5.019ms     104.559us       0.000us         0.00%     421.179us       8.775us           0 b           0 b      -2.00 Mb      -6.01 Mb            48            --  
                                    aten::_foreach_div_         0.04%     320.769us         0.73%       5.875ms     367.193us      49.438us         0.01%      49.438us       3.090us           0 b           0 b           0 b           0 b            16            --  
                                            aten::isinf         0.04%     318.278us         0.54%       4.314ms      67.409us       0.000us         0.00%     182.939us       2.858us           0 b           0 b     288.00 Kb    -992.00 Kb            64            --  
                                           aten::expand         0.04%     315.363us         0.05%     407.544us       4.201us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            97            --  
                                        aten::ones_like         0.04%     294.651us         0.28%       2.226ms      19.873us       0.000us         0.00%     133.728us       1.194us           0 b           0 b       1.51 Mb           0 b           112            --  
                                             aten::asin         0.04%     294.423us         0.40%       3.162ms      98.811us      50.112us         0.01%      50.112us       1.566us           0 b           0 b     512.00 Kb     512.00 Kb            32            --  
      autograd::engine::evaluate_function: PowBackward0         0.04%     293.323us         0.33%       2.625ms      82.021us       0.000us         0.00%     313.759us       9.805us           0 b           0 b     -12.00 Mb     -24.00 Mb            32            --  
      autograd::engine::evaluate_function: AddBackward0         0.03%     275.295us         0.04%     313.000us       6.521us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48            --  
                                              aten::min         0.03%     270.695us         2.75%      22.033ms     688.546us      79.681us         0.01%     111.106us       3.472us           0 b           0 b       2.01 Mb           0 b            32            --  
                                           MulBackward0         0.03%     257.700us         0.17%       1.327ms      20.741us       0.000us         0.00%     116.546us       1.821us           0 b           0 b      10.01 Mb           0 b            64            --  
                                           DivBackward0         0.03%     251.849us         0.16%       1.293ms      80.790us       0.000us         0.00%     287.453us      17.966us           0 b           0 b      12.00 Mb     -18.00 Mb            16            --  
                                              aten::max         0.03%     247.413us         0.67%       5.349ms     334.335us      80.319us         0.01%      80.319us       5.020us           0 b           0 b       8.00 Kb           0 b            16            --  
                                aten::mse_loss_backward         0.03%     243.960us         2.37%      18.943ms     591.982us      45.248us         0.01%     111.616us       3.488us           0 b           0 b       2.00 Mb           0 b            32            --  
                                           EluBackward0         0.03%     224.283us         0.23%       1.838ms      19.144us       0.000us         0.00%       6.450ms      67.190us           0 b           0 b     640.00 Mb           0 b            96            --  
                                     aten::masked_fill_         0.03%     215.234us        34.26%     274.084ms       8.565ms      55.745us         0.01%      55.745us       1.742us           0 b           0 b           0 b           0 b            32            --  
                                          aten::minimum         0.02%     199.398us         2.08%      16.668ms       1.042ms      31.425us         0.01%      31.425us       1.964us           0 b           0 b       2.00 Mb       2.00 Mb            16            --  
                                            aten::zero_         0.02%     196.439us         0.13%       1.024ms      14.426us       0.000us         0.00%      91.203us       1.285us           0 b           0 b           0 b           0 b            71            --  
                                       aten::zeros_like         0.02%     181.062us         0.16%       1.289ms      24.329us       0.000us         0.00%      64.641us       1.220us           0 b           0 b       2.40 Mb           0 b            53            --  
                                             cudaMemset         0.02%     180.592us         0.02%     180.592us       5.644us     501.279us         0.09%     501.279us      15.665us           0 b           0 b           0 b           0 b            32            --  
                                   aten::_foreach_lerp_         0.02%     171.571us         0.09%     711.930us      44.496us      57.984us         0.01%      57.984us       3.624us           0 b           0 b           0 b           0 b            16            --  
      autograd::engine::evaluate_function: ExpBackward0         0.02%     169.049us         0.09%     754.830us      23.588us       0.000us         0.00%      52.448us       1.639us           0 b           0 b           0 b      -2.01 Mb            32            --  
                                       aten::reciprocal         0.02%     168.483us         0.88%       7.039ms     439.928us      24.799us         0.00%      24.799us       1.550us           0 b           0 b       8.00 Kb       8.00 Kb            16            --  
                                             TBackward0         0.02%     161.380us         0.10%     793.855us       6.202us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           128            --  
      autograd::engine::evaluate_function: NegBackward0         0.02%     146.582us         0.08%     644.718us      20.147us       0.000us         0.00%      65.025us       2.032us           0 b           0 b       8.00 Kb      -6.00 Mb            32            --  
                                           ExpBackward0         0.02%     144.002us         0.07%     585.781us      18.306us       0.000us         0.00%      52.448us       1.639us           0 b           0 b       2.01 Mb           0 b            32            --  
                $SatelliteVec__reset_idx__reset_buffers         0.02%     140.242us         0.08%     661.739us     661.739us       0.000us         0.00%      32.227us      32.227us           0 b           0 b           0 b     -96.00 Kb             1            --  
      autograd::engine::evaluate_function: DivBackward0         0.02%     138.930us         0.18%       1.432ms      89.473us       0.000us         0.00%     287.453us      17.966us           0 b           0 b      -2.00 Mb     -14.00 Mb            16            --  
                                      aten::result_type         0.02%     136.078us         0.02%     136.078us       0.093us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1460            --  
                                               aten::gt         0.02%     135.853us         0.02%     196.611us      12.288us      29.054us         0.01%      29.054us       1.816us           0 b           0 b     512.00 Kb     512.00 Kb            16            --  
                                       aten::is_nonzero         0.02%     133.246us         0.31%       2.489ms      19.447us       0.000us         0.00%     211.484us       1.652us           0 b           0 b           0 b           0 b           128            --  
                                            aten::isnan         0.02%     133.237us         1.48%      11.872ms     185.497us       0.000us         0.00%      93.344us       1.458us           0 b           0 b     256.00 Kb           0 b            64            --  
                                  cudaDeviceSynchronize         0.02%     123.195us         0.02%     123.195us       6.160us      34.850us         0.01%      34.850us       1.743us           0 b           0 b           0 b           0 b            20            --  
                                aten::broadcast_tensors         0.01%     113.744us         0.04%     302.369us       6.299us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48            --  
                  $SatelliteVec__reset_idx__sample_goal         0.01%     112.529us         0.03%     232.728us     232.728us       0.000us         0.00%      17.408us      17.408us           0 b           0 b           0 b    -144.00 Kb             1            --  
autograd::engine::evaluate_function: MseLossBackward...         0.01%     106.838us         1.24%       9.930ms     620.647us       0.000us         0.00%      66.368us       4.148us           0 b           0 b       1.99 Mb      -8.00 Kb            16            --  
autograd::engine::evaluate_function: MinimumBackward...         0.01%     106.358us        34.61%     276.875ms      17.305ms       0.000us         0.00%     296.799us      18.550us           0 b           0 b       2.00 Mb      -2.00 Mb            16            --  
                                             aten::set_         0.01%     104.709us         0.01%     104.709us       3.272us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            32            --  
                                          aten::detach_         0.01%     102.619us         0.02%     123.724us       3.018us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            41            --  
                                     aten::logical_and_         0.01%      99.706us         0.07%     551.759us      11.495us       0.000us         0.00%      76.961us       1.603us           0 b           0 b           0 b           0 b            48            --  
                                        ExpandBackward0         0.01%      98.672us         0.05%     416.858us      26.054us       0.000us         0.00%     238.241us      14.890us           0 b           0 b       8.00 Kb           0 b            16            --  
autograd::engine::evaluate_function: ExpandBackward0...         0.01%      96.030us         0.06%     512.888us      32.056us       0.000us         0.00%     238.241us      14.890us           0 b           0 b      -5.99 Mb      -6.00 Mb            16            --  
                                       aten::index_put_         0.01%      94.571us         0.20%       1.601ms      66.691us       0.000us         0.00%     210.053us       8.752us           0 b           0 b           0 b           0 b            24            --  
                                              aten::var         0.01%      92.871us         0.02%     157.915us      39.479us     113.151us         0.02%     113.151us      28.288us           0 b           0 b       2.00 Kb           0 b             4            --  
                                   aten::_reshape_alias         0.01%      92.369us         0.01%      92.369us       1.924us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48            --  
                                           SubBackward0         0.01%      89.210us         0.18%       1.478ms      18.478us       0.000us         0.00%      89.791us       1.122us           0 b           0 b      12.00 Mb           0 b            80            --  
                                            aten::clone         0.01%      86.619us         0.07%     554.990us      32.646us       0.000us         0.00%      40.353us       2.374us           0 b           0 b     816.00 Kb           0 b            17            --  
                                   cudaGetSymbolAddress         0.01%      84.087us         0.01%      84.087us      84.087us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
     autograd::engine::evaluate_function: MeanBackward0         0.01%      83.920us         0.07%     596.877us      37.305us       0.000us         0.00%      38.432us       2.402us           0 b           0 b       1.99 Mb      -8.00 Kb            16            --  
      autograd::engine::evaluate_function: LogBackward0         0.01%      83.831us         0.06%     453.441us      28.340us       0.000us         0.00%      89.278us       5.580us           0 b           0 b           0 b      -6.00 Mb            16            --  
                                          aten::squeeze         0.01%      81.307us         0.01%      96.847us       6.053us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                  cudaStreamIsCapturing         0.01%      78.990us         0.01%      78.990us       0.868us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            91            --  
                                       MseLossBackward0         0.01%      77.641us         1.23%       9.824ms     613.970us       0.000us         0.00%      66.368us       4.148us           0 b           0 b       2.00 Mb           0 b            16            --  
                                            aten::zeros         0.01%      69.833us         0.07%     527.323us      29.296us       0.000us         0.00%      26.562us       1.476us           0 b           0 b     104.00 Kb           0 b            18            --  
autograd::engine::evaluate_function: UnsqueezeBackwa...         0.01%      66.436us         0.03%     217.886us      13.618us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                            aten::index         0.01%      65.262us         1.32%      10.548ms      10.548ms       6.272us         0.00%       6.272us       6.272us           0 b           0 b     208.00 Kb     208.00 Kb             1            --  
                                          MeanBackward0         0.01%      63.881us         0.06%     512.957us      32.060us       0.000us         0.00%      38.432us       2.402us           0 b           0 b       2.00 Mb           0 b            16            --  
      autograd::engine::evaluate_function: SumBackward1         0.01%      63.715us         0.03%     225.585us      14.099us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                     UnsqueezeBackward0         0.01%      54.603us         0.02%     151.450us       9.466us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                           NegBackward0         0.01%      53.647us         0.06%     498.136us      15.567us       0.000us         0.00%      65.025us       2.032us           0 b           0 b       6.01 Mb           0 b            32            --  
                                             aten::clip         0.01%      47.242us         0.08%     640.723us      20.023us       0.000us         0.00%      56.159us       1.755us           0 b           0 b       4.00 Mb           0 b            32            --  
                                           SumBackward1         0.01%      44.762us         0.02%     161.870us      10.117us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                          aten::flatten         0.01%      40.821us         0.01%      82.361us       5.148us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16            --  
                                           LogBackward0         0.00%      38.434us         0.05%     369.610us      23.101us       0.000us         0.00%      89.278us       5.580us           0 b           0 b       6.00 Mb           0 b            16            --  
                                           AddBackward0         0.00%      37.705us         0.00%      37.705us       0.786us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48            --  
                                           aten::arange         0.00%      35.643us         0.14%       1.091ms     545.685us       1.632us         0.00%       3.264us       1.632us           0 b           0 b      64.00 Kb           0 b             2            --  
                                       aten::bitwise_or         0.00%      35.102us         0.89%       7.112ms       7.112ms       2.112us         0.00%       2.112us       2.112us           0 b           0 b      64.00 Kb      64.00 Kb             1            --  
                                 cudaDeviceGetAttribute         0.00%      25.408us         0.00%      25.408us       0.541us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            47            --  
                                          cudaHostAlloc         0.00%      23.710us         0.00%      23.710us      11.855us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             2            --  
                                      aten::logical_not         0.00%      22.528us         0.01%      97.323us      48.662us       1.664us         0.00%       3.328us       1.664us           0 b           0 b     128.00 Kb           0 b             2            --  
                                    cudaPeekAtLastError         0.00%      21.154us         0.00%      21.154us       0.110us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           192            --  
                                                detach_         0.00%      21.105us         0.00%      21.105us       0.515us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            41            --  
                                              aten::std         0.00%      18.954us         0.01%      90.561us      90.561us      33.056us         0.01%      33.056us      33.056us           0 b           0 b         512 b           0 b             1            --  
                                            aten::randn         0.00%       9.810us         0.01%      44.430us      44.430us       0.000us         0.00%       3.584us       3.584us           0 b           0 b      64.00 Kb           0 b             1            --  
                                           aten::__or__         0.00%       9.572us         0.89%       7.121ms       7.121ms       0.000us         0.00%       2.112us       2.112us           0 b           0 b      64.00 Kb           0 b             1            --  
                                       aten::lift_fresh         0.00%       8.201us         0.00%       8.201us       0.182us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            45            --  
                                     cudaGetDeviceCount         0.00%       0.128us         0.00%       0.128us       0.128us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1            --  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.632us         0.00%       1.632us       1.632us           0 b           0 b           0 b           0 b             1            --  
                          $SatelliteVec__reset_idx__sim         0.00%       0.000us         0.00%       0.000us       0.000us     553.471us         0.10%     553.471us     276.735us           0 b           0 b           0 b           0 b             2            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.272us         0.00%       6.272us       6.272us           0 b           0 b           0 b           0 b             1            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     128.546us         0.02%     128.546us       6.121us           0 b           0 b           0 b           0 b            21            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.400us         0.00%       2.400us       2.400us           0 b           0 b           0 b           0 b             1            --  
carb::gym::(anonymous namespace)::unpackActorRootSta...         0.00%       0.000us         0.00%       0.000us       0.000us      17.280us         0.00%      17.280us      17.280us           0 b           0 b           0 b           0 b             1            --  
                                    copyOrApplyArtiData         0.00%       0.000us         0.00%       0.000us       0.000us     379.106us         0.07%     379.106us       3.791us           0 b           0 b           0 b           0 b           100            --  
carb::gym::(anonymous namespace)::fillActorRootState...         0.00%       0.000us         0.00%       0.000us       0.000us     347.747us         0.06%     347.747us      20.456us           0 b           0 b           0 b           0 b            17            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     175.677us         0.03%     175.677us       2.662us           0 b           0 b           0 b           0 b            66            --  
                  $SatelliteVec__reset_idx__sample_goal         0.00%       0.000us         0.00%       0.000us       0.000us     133.152us         0.02%     133.152us     133.152us           0 b           0 b           0 b           0 b             1            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     119.549us         0.02%     119.549us       3.623us           0 b           0 b           0 b           0 b            33            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     460.544us         0.08%     460.544us       4.076us           0 b           0 b           0 b           0 b           113            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     591.966us         0.10%     591.966us       6.964us           0 b           0 b           0 b           0 b            85            --  
                $SatelliteVec__reset_idx__reset_buffers         0.00%       0.000us         0.00%       0.000us       0.000us     576.543us         0.10%     576.543us     576.543us           0 b           0 b           0 b           0 b             1            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     280.993us         0.05%     280.993us       1.222us           0 b           0 b           0 b           0 b           230            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.640us         0.00%       4.640us       0.387us           0 b           0 b           0 b           0 b            12            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.896us         0.00%       4.896us       4.896us           0 b           0 b           0 b           0 b             1            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.929us         0.00%       8.929us       4.465us           0 b           0 b           0 b           0 b             2            --  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us         192 b         192 b    -404.68 Mb    -404.68 Mb          2822            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     271.166us         0.05%     271.166us       1.994us           0 b           0 b           0 b           0 b           136            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.205ms         0.38%       2.205ms       2.492us           0 b           0 b           0 b           0 b           885            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     113.053us         0.02%     113.053us       1.663us           0 b           0 b           0 b           0 b            68            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     211.428us         0.04%     211.428us       1.590us           0 b           0 b           0 b           0 b           133            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     544.444us         0.09%     544.444us       2.388us           0 b           0 b           0 b           0 b           228            --  
                                  volta_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us       9.748ms         1.69%       9.748ms      75.568us           0 b           0 b           0 b           0 b           129            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.214ms         0.90%       5.214ms      26.737us           0 b           0 b           0 b           0 b           195            --  
                                   volta_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      12.767ms         2.21%      12.767ms     130.280us           0 b           0 b           0 b           0 b            98            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     112.320us         0.02%     112.320us       1.755us           0 b           0 b           0 b           0 b            64            --  
